time(day),Unique Domain Count,Total IP Count,Unique IP Count,Unique Open IP Count,Domain Open Count,URL Open Count,Success Grab Count
0,90.3183866602,43.1722777733,12.0096558993,9.65170104321,43.0979780774,47.9990466549,40.0449996392
1,90.2361390741,43.0824699747,12.0128315367,9.82441836892,43.0386903514,47.9726364246,40.5805649931
2,90.8926409369,42.6292185113,11.8835129712,9.52192489438,42.5931789217,47.5639448448,40.2379143558
3,89.3264705756,43.1750388599,11.7425523806,9.39802424518,43.1282784727,48.0310108722,39.6980700635
4,88.7913547401,43.5017487818,11.8459363777,9.57047014259,43.4478546995,48.3905655462,39.4264678878
5,85.4980481425,37.1818605035,9.50015489101,8.36676806211,37.1787453771,43.8362897229,36.2767432161
6,88.8023534261,42.9975461166,11.7425872538,10.0265615208,38.133660687,42.5714700407,38.2714826931
7,88.6692078703,43.2033309421,11.8114425733,10.1999451318,38.3259834952,42.821340999,37.6953827227
8,88.7307340096,43.1911968744,11.8233142165,10.0961601912,38.1447771354,42.5964911982,37.8370577119
9,83.8611209276,50.5255340616,13.1282618605,10.6773402169,43.9579203991,53.9336949229,48.8222730974
